firm_id,firm_name,country,exchange,ticker,sector,sample_status,first_target_year,last_target_year,sample_inclusion_rule,exchange_listing_verified_as_of,listing_verification_status,collection_priority
SA_2222,Saudi Arabian Oil Company (Aramco),Saudi Arabia,Saudi Exchange,2222,Energy,existing_seed,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,seed_verified,1
AE_DFM_DIC,Dubai Investments PJSC,United Arab Emirates,Dubai Financial Market,DIC,Financial Services / Diversified,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,25
AE_DFM_DU,Emirates Integrated Telecommunications Company PJSC,United Arab Emirates,Dubai Financial Market,DU,Telecommunication Services,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,26
AE_DFM_AIRARABIA,Air Arabia PJSC,United Arab Emirates,Dubai Financial Market,AIRARABIA,Transportation,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,27
AE_DFM_ARMX,Aramex PJSC,United Arab Emirates,Dubai Financial Market,ARMX,Transportation,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,28
AE_DFM_TABREED,National Central Cooling Company PJSC (Tabreed),United Arab Emirates,Dubai Financial Market,TABREED,Utilities,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,29
AE_DFM_UPP,Union Properties PJSC,United Arab Emirates,Dubai Financial Market,UPP,Real Estate,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,30
AE_DFM_DEYAAR,Deyaar Development PJSC,United Arab Emirates,Dubai Financial Market,DEYAAR,Real Estate,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,31
AE_DFM_CBD,Commercial Bank of Dubai PSC,United Arab Emirates,Dubai Financial Market,CBD,Banks,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,32
AE_DFM_MASQ,Mashreqbank PSC,United Arab Emirates,Dubai Financial Market,MASQ,Banks,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,33
AE_DFM_DFM,Dubai Financial Market PJSC,United Arab Emirates,Dubai Financial Market,DFM,Financial Services,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,34
AE_DFM_AJMANBANK,Ajman Bank PJSC,United Arab Emirates,Dubai Financial Market,AJMANBANK,Banks,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,35
QA_QNBK,QNB Group,Qatar,Qatar Stock Exchange,QNBK,Banks & Financial Services,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,36
QA_QIBK,Qatar Islamic Bank,Qatar,Qatar Stock Exchange,QIBK,Banks & Financial Services,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,37
QA_CBQK,Commercial Bank of Qatar,Qatar,Qatar Stock Exchange,CBQK,Banks & Financial Services,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,38
QA_MARK,Masraf Al Rayan,Qatar,Qatar Stock Exchange,MARK,Banks & Financial Services,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,39
QA_DHBK,Doha Bank,Qatar,Qatar Stock Exchange,DHBK,Banks & Financial Services,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,40
QA_IQCD,Industries Qatar Q.P.S.C.,Qatar,Qatar Stock Exchange,IQCD,Industrials,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,41
QA_QEWS,Qatar Electricity & Water Company,Qatar,Qatar Stock Exchange,QEWS,Industrials / Utilities,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,42
QA_QFLS,Qatar Fuel Company (WOQOD),Qatar,Qatar Stock Exchange,QFLS,Consumer Services / Energy Distribution,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,43
QA_ORDS,Ooredoo Q.P.S.C.,Qatar,Qatar Stock Exchange,ORDS,Telecoms,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,44
QA_VFQS,Vodafone Qatar P.Q.S.C.,Qatar,Qatar Stock Exchange,VFQS,Telecoms,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,45
QA_QGTS,Qatar Gas Transport Company Ltd. (Nakilat),Qatar,Qatar Stock Exchange,QGTS,Transportation,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,46
QA_QNNS,Qatar Navigation Q.P.S.C. (Milaha),Qatar,Qatar Stock Exchange,QNNS,Transportation,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,47
QA_GWCS,Gulf Warehousing Company Q.P.S.C.,Qatar,Qatar Stock Exchange,GWCS,Transportation,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,48
QA_BRES,Barwa Real Estate Company Q.P.S.C.,Qatar,Qatar Stock Exchange,BRES,Real Estate,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,49
QA_UDCD,United Development Company Q.P.S.C.,Qatar,Qatar Stock Exchange,UDCD,Real Estate,pilot_frame,2018,2025,pre-outcome pilot frame: selected before labor-outcome extraction; long public reporting history; sector coverage; no AI-language criterion,2026-08-09,exchange_frame_verified,50
