firm_id,firm_name,year,employees,metric_name,reporting_scope,source_url,source_locator,source_type,source_retrieval_date,source_sha256,source_hash_status,scope_break_flag,scope_break_reason,verification_status,notes
SA_1120,Al Rajhi Banking and Investment Corporation,2020,13445,total_group_workforce,"Al Rajhi Group; permanent + contract + outsourced",https://www.alrajhibank.com.sa/ir22/business_in_perspective/human_resources.html,"Annual Report 2022 > Human Resources > Workforce analysis",annual_report_html,2026-08-09,,html_snapshot_hash_pending,no,,source_verified_hash_pending,"Retrospective five-year table in 2022 report."
SA_1120,Al Rajhi Banking and Investment Corporation,2021,15078,total_group_workforce,"Al Rajhi Group; permanent + contract + outsourced",https://www.alrajhibank.com.sa/ir22/business_in_perspective/human_resources.html,"Annual Report 2022 > Human Resources > Workforce analysis",annual_report_html,2026-08-09,,html_snapshot_hash_pending,no,,source_verified_hash_pending,"Retrospective five-year table in 2022 report."
SA_1120,Al Rajhi Banking and Investment Corporation,2022,19964,total_group_workforce,"Al Rajhi Group; permanent + contract + outsourced",https://www.alrajhibank.com.sa/ir22/business_in_perspective/human_resources.html,"Annual Report 2022 > Human Resources > Workforce analysis",annual_report_html,2026-08-09,,html_snapshot_hash_pending,no,,source_verified_hash_pending,"2022 category table: 15,820 permanent + 100 contract + 4,044 outsourced."
SA_1120,Al Rajhi Banking and Investment Corporation,2023,20878,total_group_workforce,"Al Rajhi Group; outsourced category becomes zero after outsourced staff moved to Tanfeeth as part of Group",https://www.alrajhibank.com.sa/ir23/business_in_perspective/human_resources.html,"Annual Report 2023 > Human Resources > Workforce analysis",annual_report_html,2026-08-09,,html_snapshot_hash_pending,yes,"2023 report states all outsourced employees in 2022 moved to Tanfeeth as part of Al Rajhi Group; classification of the workforce changes even though Group boundary remains.",source_verified_hash_pending,"Use with a structural/scope-change indicator."
SA_1120,Al Rajhi Banking and Investment Corporation,2024,23406,total_group_workforce,"Al Rajhi Group workforce",https://www.alrajhibank.com.sa/ir24/cultivating_a_future_forward_workforce/talent_management.html,"Annual Report 2024 > Talent Management > Workforce profile",annual_report_html,2026-08-09,,html_snapshot_hash_pending,no,,source_verified_hash_pending,"Workforce profile table reports 23,406 total; underlying permanent/temporary detail should be retained for QA."
SA_1120,Al Rajhi Banking and Investment Corporation,2025,25083,total_group_workforce,"Al Rajhi Group workforce; disclosure states 78.3% full-time and 21.6% outsourced",https://www.alrajhibank.com.sa/ir25/cultivating_a_future_forward_workforce/talent_attraction_development_and_retention.html,"Annual Report 2025 > Talent attraction, development and retention > Our workforce at a glance",annual_report_html,2026-08-09,,html_snapshot_hash_pending,yes,"2025 disclosure explicitly includes a substantial outsourced share, creating a classification break relative to the 2024 workforce profile.",source_verified_hash_pending,"Keep total for audit but test permanent/full-time-only outcome where reconstructable."
SA_2280,Almarai Company,2018,38953,derived_comparable_workforce,"GCC + USA + Argentina; excludes Egypt (Beyti) and Jordan (Teeba) to match 2021-2025 sustainability boundary",https://sustainability.almarai.com/en/pdf/Almarai-Sustainability-Report-2019-EN_web_new.pdf,"Sustainability Report 2019, performance data PDF pp.80-81; derived 38,416 + 366 + 171",sustainability_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"Derived from separately reported geographic components; do not confuse with the report-wide total workforce of 42,971."
SA_2280,Almarai Company,2019,37821,derived_comparable_workforce,"GCC + USA + Argentina; excludes Egypt (Beyti) and Jordan (Teeba) to match 2021-2025 sustainability boundary",https://sustainability.almarai.com/en/pdf/Almarai-Sustainability-Report-2019-EN_web_new.pdf,"Sustainability Report 2019, performance data PDF pp.80-81; derived 37,231 + 389 + 201",sustainability_report_pdf,2026-08-09,,pending_local_download_for_sha256,no,,source_verified_hash_pending,"Derived from separately reported geographic components; do not confuse with the report-wide total workforce of 41,884."
SA_2280,Almarai Company,2021,35386,comparable_sustainability_workforce,"GCC + USA + Argentina",https://sustainability.almarai.com/en/performance-data.html,"Sustainability Report 2024 > Performance Data > Employee Talent and Diversity",sustainability_report_html,2026-08-09,,html_snapshot_hash_pending,no,,source_verified_hash_pending,"Comparable series published as 2021-2024."
SA_2280,Almarai Company,2022,38351,comparable_sustainability_workforce,"GCC + USA + Argentina",https://sustainability.almarai.com/en/performance-data.html,"Sustainability Report 2024 > Performance Data > Employee Talent and Diversity",sustainability_report_html,2026-08-09,,html_snapshot_hash_pending,no,,source_verified_hash_pending,"Comparable series published as 2021-2024."
SA_2280,Almarai Company,2023,41072,comparable_sustainability_workforce,"GCC + USA + Argentina",https://sustainability.almarai.com/en/performance-data.html,"Sustainability Report 2024 > Performance Data > Employee Talent and Diversity",sustainability_report_html,2026-08-09,,html_snapshot_hash_pending,no,,source_verified_hash_pending,"Comparable series published as 2021-2024."
SA_2280,Almarai Company,2024,43821,comparable_sustainability_workforce,"GCC + USA + Argentina",https://sustainability.almarai.com/en/performance-data.html,"Sustainability Report 2024 > Performance Data > Employee Talent and Diversity",sustainability_report_html,2026-08-09,,html_snapshot_hash_pending,no,,source_verified_hash_pending,"Supersedes the pilot's GCC-only actuarial headcount for use as the main comparable labor outcome; retain actuarial row as an audit alternative."
SA_2280,Almarai Company,2025,45856,comparable_sustainability_workforce,"GCC + USA + Argentina",https://annualreport.almarai.com/supplementary-information/almarai-group/,"Annual Report 2025 > Almarai Group > Employee Talent and Diversity",integrated_report_html,2026-08-09,,html_snapshot_hash_pending,no,,source_verified_hash_pending,"2025 report republishes 2022-2025 comparable series; 2025 total = 45,134 GCC + 468 USA + 254 Argentina."
